Province,Station,Category,Year,Cases
Eastern Cape,'King William''S Town',All theft not mentioned elsewhere,2005,871
Eastern Cape,'King William''S Town',All theft not mentioned elsewhere,2006,830
Eastern Cape,'King William''S Town',All theft not mentioned elsewhere,2007,871
Eastern Cape,'King William''S Town',All theft not mentioned elsewhere,2008,845
Eastern Cape,'King William''S Town',All theft not mentioned elsewhere,2009,771
Eastern Cape,'King William''S Town',All theft not mentioned elsewhere,2010,742
Eastern Cape,'King William''S Town',All theft not mentioned elsewhere,2011,730
Eastern Cape,'King William''S Town',All theft not mentioned elsewhere,2012,760
Eastern Cape,'King William''S Town',All theft not mentioned elsewhere,2013,864
Eastern Cape,'King William''S Town',All theft not mentioned elsewhere,2014,819
Eastern Cape,'King William''S Town',All theft not mentioned elsewhere,2015,729
Eastern Cape,'King William''S Town',Arson,2005,4
Eastern Cape,'King William''S Town',Arson,2006,14
Eastern Cape,'King William''S Town',Arson,2007,13
Eastern Cape,'King William''S Town',Arson,2008,13
Eastern Cape,'King William''S Town',Arson,2009,5
Eastern Cape,'King William''S Town',Arson,2010,8
Eastern Cape,'King William''S Town',Arson,2011,8
Eastern Cape,'King William''S Town',Arson,2012,14
Eastern Cape,'King William''S Town',Arson,2013,16
Eastern Cape,'King William''S Town',Arson,2014,3
Eastern Cape,'King William''S Town',Arson,2015,5
Eastern Cape,'King William''S Town',Assault with the intent to inflict grievous bodily harm,2005,358
Eastern Cape,'King William''S Town',Assault with the intent to inflict grievous bodily harm,2006,381
Eastern Cape,'King William''S Town',Assault with the intent to inflict grievous bodily harm,2007,372
Eastern Cape,'King William''S Town',Assault with the intent to inflict grievous bodily harm,2008,403
Eastern Cape,'King William''S Town',Assault with the intent to inflict grievous bodily harm,2009,356
Eastern Cape,'King William''S Town',Assault with the intent to inflict grievous bodily harm,2010,318
Eastern Cape,'King William''S Town',Assault with the intent to inflict grievous bodily harm,2011,303
Eastern Cape,'King William''S Town',Assault with the intent to inflict grievous bodily harm,2012,323
Eastern Cape,'King William''S Town',Assault with the intent to inflict grievous bodily harm,2013,329
Eastern Cape,'King William''S Town',Assault with the intent to inflict grievous bodily harm,2014,250
Eastern Cape,'King William''S Town',Assault with the intent to inflict grievous bodily harm,2015,253
Eastern Cape,'King William''S Town',Attempted murder,2005,11
Eastern Cape,'King William''S Town',Attempted murder,2006,11
Eastern Cape,'King William''S Town',Attempted murder,2007,8
Eastern Cape,'King William''S Town',Attempted murder,2008,13
Eastern Cape,'King William''S Town',Attempted murder,2009,9
Eastern Cape,'King William''S Town',Attempted murder,2010,6
Eastern Cape,'King William''S Town',Attempted murder,2011,5
Eastern Cape,'King William''S Town',Attempted murder,2012,11
Eastern Cape,'King William''S Town',Attempted murder,2013,4
Eastern Cape,'King William''S Town',Attempted murder,2014,9
Eastern Cape,'King William''S Town',Attempted murder,2015,13
Eastern Cape,'King William''S Town',Bank robbery,2005,0
Eastern Cape,'King William''S Town',Bank robbery,2006,1
Eastern Cape,'King William''S Town',Bank robbery,2007,0
Eastern Cape,'King William''S Town',Bank robbery,2008,0
Eastern Cape,'King William''S Town',Bank robbery,2009,0
